City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,capitao poco,-1.7464,-47.0594,298.19,76,100,1.9,BR,1731376198
137,minas de marcona,-15.2119,-75.1103,287.43,81,16,4.04,PE,1731376199
138,lompoc,34.6391,-120.4579,287.98,79,100,3.13,US,1731376200
139,kingston,17.997,-76.7936,300.68,83,20,2.57,JM,1731376202
140,yellowknife,62.456,-114.3525,265.6,94,100,6.71,CA,1731375973
141,tvoroyri,61.5556,-6.8111,283.23,92,53,11.51,FO,1731376204
142,burang,30.25,81.1667,269.83,59,19,1.84,CN,1731376205
143,tobol'sk,58.2,68.2667,261.78,95,100,3.37,RU,1731376206
144,kapuskasing,49.4169,-82.4331,270.2,93,100,5.14,CA,1731376207
145,vorgashor,67.5833,63.95,254.62,97,72,4.03,RU,1731376208
146,la sarre,48.8002,-79.1996,271.5,81,100,7.19,CA,1731376210
147,palmer,42.1584,-72.3287,285.28,86,1,1.09,US,1731376212
148,yicheng,31.3705,119.8703,290.84,65,0,3.6,CN,1731376213
149,isangel,-19.55,169.2667,302.21,70,75,3.09,VU,1731376214
150,uturoa,-16.7333,-151.4333,299.32,81,83,8.79,PF,1731376215
151,kruisfontein,-34.0033,24.7314,285.99,91,0,1.36,ZA,1731376216
152,sao vicente,-23.9631,-46.3919,294.25,26,0,1.85,BR,1731376217
153,kirakira,-10.4544,161.9205,301.89,78,100,5.1,SB,1731376218
154,kas,36.2018,29.6377,289.96,62,45,2.18,TR,1731376219
155,katsuura,35.1333,140.3,293.27,66,85,1.34,JP,1731376221
156,ayaviri,-14.8864,-70.5889,281.67,73,90,1.85,PE,1731376222
157,tasova,40.7597,36.3225,281.17,94,60,0.16,TR,1731376223
158,port isabel,26.0734,-97.2086,297.17,88,0,3.6,US,1731375785
159,yaren,-0.5472,166.916,301.5,67,0,6.2,NR,1731376225
160,chui,-33.6971,-53.4616,284.59,85,76,3.79,UY,1731376227
161,beledweyne,4.7358,45.2036,299.49,67,98,1.36,SO,1731376228
162,dudinka,69.4058,86.1778,250.35,92,76,6.57,RU,1731376229
163,aykhal,66.0,111.5,254.84,100,100,2.13,RU,1731376231
164,murun-kuren,49.6342,100.1625,272.49,50,92,3.38,MN,1731376232
165,ogaminana,7.5946,6.2248,296.47,47,38,0.94,NG,1731376233
166,kenora,49.8167,-94.4337,272.69,80,75,2.06,CA,1731376234
167,jiangyou,31.7667,104.7167,288.41,92,100,0.65,CN,1731376235
168,haiku-pauwela,20.9219,-156.3051,299.96,75,40,12.96,US,1731376236
169,lazaro cardenas,17.9583,-102.2,299.74,82,29,1.74,MX,1731376144
170,saint-philippe,-21.3585,55.7679,296.55,85,47,5.26,RE,1731376238
171,tolanaro,-25.0319,46.9987,297.19,94,40,0.0,MG,1731376239
172,stanley,54.868,-1.6985,277.88,94,38,1.03,GB,1731376241
173,iqaluit,63.7506,-68.5145,259.0,85,20,2.57,CA,1731376243
174,avarua,-21.2078,-159.775,297.18,60,20,7.2,CK,1731376244
175,juye,35.3947,116.0883,291.95,62,6,2.26,CN,1731376245
176,indramayu,-6.3264,108.32,302.66,69,100,3.7,ID,1731376246
177,bengkulu,-3.8004,102.2655,300.66,74,100,0.78,ID,1731376247
178,santa lucia,27.9117,-15.5407,289.77,73,20,6.69,ES,1731376248
179,pauini,-7.7136,-66.9764,299.1,81,73,0.85,BR,1731376250
180,vryburg,-26.9566,24.7284,289.63,88,50,4.31,ZA,1731376251
181,taro,-8.3862,115.28,300.81,67,69,0.86,ID,1731376252
182,malakal,9.5334,31.6605,299.09,51,19,0.46,SS,1731376253
183,awjilah,29.1081,21.2869,291.46,42,0,4.58,LY,1731376254
184,ilheus,-14.7889,-39.0494,296.05,100,75,1.54,BR,1731376070
185,irymple,-34.25,142.1667,294.25,63,100,4.73,AU,1731376256
186,enshi,30.3,109.4833,288.22,96,100,0.66,CN,1731376257
187,college,64.8569,-147.8028,255.62,79,75,0.0,US,1731376258
188,kone,-21.0595,164.8658,305.77,36,12,1.83,NC,1731376259
189,palikir - national government center,6.9248,158.1611,304.56,70,100,4.63,FM,1731376262
190,ta`u,-14.2336,-169.5144,300.54,72,39,5.08,AS,1731376263
191,rozhyshche,50.9154,25.2691,273.31,82,36,2.73,UA,1731376264
192,guarapari,-20.6667,-40.4975,294.34,87,0,4.28,BR,1731376210
193,port augusta,-32.5,137.7667,299.55,47,0,1.68,AU,1731376266
194,as samawah,31.332,45.2944,295.25,54,100,4.8,IQ,1731376267
195,hamilton,39.1834,-84.5333,286.53,77,40,1.54,US,1731375505
196,chiredzi,-21.05,31.6667,295.39,84,100,3.7,ZW,1731376269
197,jalalaqsi,3.3766,45.5996,297.54,83,95,2.72,SO,1731376270
198,al kharijah,25.4514,30.5464,288.72,53,2,3.56,EG,1731376271
199,niafunke,15.9322,-3.9906,296.23,18,1,4.41,ML,1731376273
200,aksaray,38.3726,34.0254,280.57,73,43,1.72,TR,1731376274
201,bandon,51.7469,-8.7425,280.92,88,20,1.19,IE,1731376275
202,castro,-24.7911,-50.0119,292.63,72,17,2.45,BR,1731376276
203,kourou,5.1552,-52.6478,298.19,85,100,3.05,GF,1731376277
204,galle,6.0367,80.217,302.0,81,68,0.45,LK,1731376278
205,san patricio,28.017,-97.5169,298.12,69,52,4.06,US,1731376279
206,lebu,-37.6167,-73.65,284.62,75,87,7.35,CL,1731376048
207,tofol,5.3248,163.0078,304.03,70,75,3.09,FM,1731376281
208,anqiu,36.4342,119.1925,290.08,68,0,2.48,CN,1731376283
209,aswan,24.0934,32.907,290.76,45,0,2.57,EG,1731376284
210,diego de almagro,-26.3667,-70.05,292.13,48,0,0.7,CL,1731376286
211,la passe,45.5549,-0.8967,282.21,89,6,6.83,FR,1731376287
212,loiza,18.4313,-65.8802,300.14,88,75,2.06,PR,1731376288
213,kuala kangsar,4.7667,100.9333,299.11,84,100,0.46,MY,1731376290
214,hammerfest,70.6634,23.6821,278.4,93,100,4.12,NO,1731376291
215,zaozersk,69.4005,32.4476,274.99,90,100,5.76,RU,1731376292
216,pirallahi,40.4723,50.333,285.23,75,51,7.01,AZ,1731376293
217,udachny,66.4167,112.4,250.07,100,100,1.62,RU,1731376294
218,sainte-anne-des-monts,49.124,-66.4924,275.08,100,99,4.12,CA,1731376296
219,avola,36.9113,15.1395,289.98,87,100,4.97,IT,1731376297
220,kasongo,-4.45,26.6667,293.56,90,100,1.03,CD,1731376298
221,conduaga,8.862,117.4893,303.61,64,88,1.33,PH,1731376300
222,tuy hoa,13.0833,109.3,301.89,72,99,4.27,VN,1731376301
223,fale old settlement,-9.3852,-171.2468,302.01,67,4,5.46,TK,1731376302
224,verkhnyaya sinyachikha,57.976,61.6673,266.81,77,100,4.73,RU,1731376303
225,carutapera,-1.195,-46.02,298.73,79,100,3.18,BR,1731376304
226,holualoa,19.6228,-155.9522,299.4,74,75,4.12,US,1731376305
227,waingapu,-9.6567,120.2641,304.97,51,86,4.83,ID,1731376306
228,selkirk,50.1436,-96.8845,274.46,64,100,4.17,CA,1731376307
229,andergrove,-21.0833,149.1833,300.22,62,9,4.99,AU,1731376308
230,thenzawl,23.3167,92.75,296.9,68,66,0.82,IN,1731376309
231,st. john's,47.5649,-52.7093,280.36,89,100,6.17,CA,1731376311
232,lyantor,61.6195,72.1555,253.45,98,61,3.51,RU,1731376312
233,cannonvale,-20.2833,148.7,299.81,57,33,3.78,AU,1731376313
234,marsabit,2.3284,37.9899,293.01,70,82,4.31,KE,1731376314
235,siracusa,37.0881,15.2792,290.3,85,100,9.64,IT,1731376308
236,nizhniy odes,63.6445,54.856,269.07,98,99,0.93,RU,1731376316
237,nacala,-14.5428,40.6728,297.86,89,70,2.32,MZ,1731376318
238,lang son,21.8333,106.7333,299.37,51,74,0.07,VN,1731376320
239,new norfolk,-42.7826,147.0587,296.32,20,0,1.55,AU,1731376321
240,sebastian,35.1668,-94.2669,288.46,82,92,0.51,US,1731376322
241,guiyang,26.5833,106.7167,294.42,64,75,2.0,CN,1731376323
242,mobaye,4.319,21.1786,293.88,96,19,0.5,CF,1731376324
243,hadibu,12.65,54.0333,298.39,84,47,3.69,YE,1731376325
244,fort bragg,35.139,-79.006,290.82,94,0,0.45,US,1731376327
245,weiser,44.251,-116.9693,280.55,84,100,2.49,US,1731376329
246,raduzhny,62.0961,77.475,255.81,93,100,5.91,RU,1731376330
247,kodiak,57.79,-152.4072,277.88,48,0,3.09,US,1731376331
248,porto novo,6.4965,2.6036,300.05,88,61,0.46,BJ,1731376332
249,kill devil hills,36.0307,-75.676,293.14,91,75,3.09,US,1731376333
250,jesenice,46.4306,14.0669,274.55,84,81,0.52,SI,1731376334
251,portland,45.5234,-122.6762,283.76,92,100,4.47,US,1731376295
252,kosh-agach,50.0,88.6667,267.45,71,97,4.52,RU,1731376336
